id_transaccion,id_cliente,categoria_comercio,pais,hora_dia,importe_eur,antiguedad_cuenta_dias,transacciones_ult_24h,contracargos_prev_180d,cambio_dispositivo,puntuacion_riesgo_ip,es_fraude
tx_002679,cust_00464,bienes_digitales,US,13,20.72,980,3,1,0,15.5,1
tx_001002,cust_00589,bienes_digitales,ES,13,15.23,2521,9,0,0,0.0,0
tx_000719,cust_00189,suscripciones,ES,1,18.92,2872,5,0,0,14.5,0
tx_000613,cust_00627,moda,IT,12,30.3,29,1,0,1,11.7,0
tx_000843,cust_00727,lujo,NL,16,132.24,1748,2,0,0,18.0,0
tx_000267,cust_00358,marketplace,FR,15,16.74,443,1,0,0,16.6,0
tx_000052,cust_00156,supermercado,DE,5,9.08,1913,14,0,0,18.2,0
tx_001196,cust_00507,moda,ES,12,54.51,1263,0,0,0,19.9,0
tx_001271,cust_00295,moda,GB,1,9.91,1152,1,0,1,26.4,0
tx_001492,cust_00392,restaurantes,DE,4,14.13,2893,2,0,0,8.1,0
tx_001583,cust_00412,bienes_digitales,PT,22,41.44,3042,1,0,0,21.6,0
tx_000522,cust_00117,moda,GB,8,107.99,3594,3,0,1,16.9,0
tx_001695,cust_00128,bienes_digitales,ES,17,43.23,1763,2,0,0,8.5,0
tx_002664,cust_00397,supermercado,GB,13,5.53,78,2,0,0,7.6,0
tx_002749,cust_00332,moda,IT,9,11.73,1075,13,0,0,33.0,0
tx_001922,cust_00429,viajes,ES,22,19.82,1678,0,0,0,11.6,0
tx_000103,cust_00644,bienes_digitales,NG,13,134.92,1411,3,0,0,58.5,1
tx_000696,cust_00203,restaurantes,NG,6,21.27,3042,1,0,0,78.2,0
tx_002333,cust_00215,supermercado,ES,10,13.29,35,0,0,1,21.4,0
tx_002725,cust_00632,moda,FR,23,48.41,3110,0,1,0,16.7,0
tx_002273,cust_00238,bienes_digitales,ES,15,49.47,1144,0,0,0,14.7,0
tx_002483,cust_00145,supermercado,ES,17,31.1,1315,1,0,0,17.5,0
tx_001843,cust_00653,moda,US,0,29.18,14,2,1,0,11.8,0
tx_001831,cust_00284,suscripciones,ES,7,9.26,1673,1,0,0,22.2,0
tx_000795,cust_00345,videojuegos,IT,4,122.83,3189,0,1,0,33.2,0
tx_001821,cust_00250,electronica,ES,22,21.27,1343,2,0,0,6.3,0
tx_002002,cust_00050,supermercado,ES,0,52.98,6,1,0,0,0.0,0
tx_000145,cust_00794,moda,ES,14,49.89,2477,2,0,0,17.9,0
tx_002526,cust_00259,suscripciones,ES,6,27.18,80,1,0,1,0.0,0
tx_001331,cust_00360,moda,FR,9,19.49,88,0,0,0,17.0,0
tx_002478,cust_00141,moda,ES,18,30.73,1312,0,0,0,5.0,0
tx_002882,cust_00189,viajes,ES,3,91.77,1110,1,0,0,11.1,0
tx_000322,cust_00087,supermercado,ES,10,20.52,77,8,0,0,0.0,0
tx_001262,cust_00739,suscripciones,US,15,13.96,2880,1,0,0,21.0,0
tx_002415,cust_00298,supermercado,IT,13,12.82,57,0,0,0,17.5,0
tx_001270,cust_00039,marketplace,IT,6,16.84,2353,0,0,0,26.4,0
tx_001761,cust_00308,electronica,US,15,60.12,3438,1,0,1,26.9,1
tx_000417,cust_00775,bienes_digitales,IT,13,12.94,928,3,0,0,29.1,0
tx_002632,cust_00544,bienes_digitales,FR,7,16.06,3097,0,0,0,18.7,0
tx_002292,cust_00257,viajes,ES,9,79.57,41,8,0,1,0.0,0
tx_000175,cust_00557,restaurantes,FR,14,15.04,2182,2,0,0,2.1,0
tx_001726,cust_00626,restaurantes,ES,11,45.34,219,0,1,0,8.3,0
tx_002176,cust_00610,suscripciones,ES,10,33.25,58,1,1,0,13.5,0
tx_000046,cust_00776,supermercado,ES,11,32.39,3316,2,0,1,26.0,0
tx_000686,cust_00640,moda,NL,1,123.81,3052,0,0,0,22.9,0
tx_001608,cust_00475,bienes_digitales,ES,11,29.09,43,0,0,1,2.1,0
tx_001232,cust_00587,videojuegos,US,22,103.23,1598,1,0,0,9.4,0
tx_000863,cust_00097,supermercado,ES,1,17.74,2608,1,0,0,7.6,0
tx_001966,cust_00593,restaurantes,NL,19,18.37,3599,1,0,0,10.2,0
tx_000332,cust_00297,marketplace,ES,10,13.27,9,1,0,1,19.3,0
tx_000094,cust_00310,supermercado,ES,12,52.82,967,1,0,1,36.5,0
tx_001642,cust_00041,moda,ES,0,37.06,2992,2,0,1,5.1,0
tx_002987,cust_00598,restaurantes,ES,18,41.57,2397,2,0,0,18.4,0
tx_000507,cust_00425,supermercado,IT,14,38.86,3279,3,0,1,11.3,0
tx_002910,cust_00278,moda,ES,11,25.58,23,1,0,1,19.6,0
tx_002046,cust_00793,supermercado,NL,23,31.41,1138,1,0,0,17.6,0
tx_000496,cust_00330,restaurantes,ES,15,36.93,1330,1,0,0,15.2,0
tx_002133,cust_00416,supermercado,US,16,22.26,339,0,0,0,18.4,0
tx_000001,cust_00072,bienes_digitales,ES,1,24.13,2654,0,0,0,26.4,0
tx_000315,cust_00195,restaurantes,ES,23,6.57,12,0,0,0,6.8,0
tx_001273,cust_00745,suscripciones,ES,7,15.71,3648,2,0,0,7.4,0
tx_001942,cust_00203,moda,US,10,6.51,2638,1,0,0,25.2,0
tx_002968,cust_00183,bienes_digitales,ES,19,21.71,2357,5,0,0,16.7,0
tx_001317,cust_00568,videojuegos,ES,18,16.98,2582,3,0,0,12.0,0
tx_000756,cust_00350,supermercado,NL,18,28.54,35,4,0,0,15.0,0
tx_001771,cust_00271,marketplace,ES,8,32.52,2189,2,0,1,17.9,0
tx_001201,cust_00703,bienes_digitales,GB,18,49.11,659,5,0,0,14.7,0
tx_002175,cust_00187,restaurantes,DE,5,21.76,3263,10,0,0,11.0,0
tx_001992,cust_00350,electronica,FR,12,104.85,1631,1,0,0,25.6,0
tx_000880,cust_00504,bienes_digitales,GB,14,105.22,648,0,0,0,12.3,0
tx_000766,cust_00624,moda,ES,7,5.65,78,1,0,0,25.2,0
tx_000928,cust_00241,bienes_digitales,GB,17,3.0,4,0,0,0,31.7,0
tx_002378,cust_00110,marketplace,ES,0,34.71,85,4,0,0,7.6,0
tx_001375,cust_00710,moda,ES,16,51.15,2648,2,0,0,5.4,0
tx_001815,cust_00707,videojuegos,DE,7,17.29,3649,1,0,1,27.3,0
tx_001799,cust_00383,supermercado,ES,21,31.1,1201,1,0,0,13.2,0
tx_000930,cust_00462,restaurantes,PT,3,30.17,3561,1,0,0,1.9,0
tx_000437,cust_00454,supermercado,ES,18,17.21,58,2,0,0,10.6,0
tx_000197,cust_00274,moda,ES,12,7.45,729,1,0,1,25.2,0
tx_001763,cust_00009,electronica,ES,3,92.39,2530,1,0,1,9.2,0
tx_001065,cust_00602,supermercado,BR,3,34.31,87,0,0,0,41.4,0
tx_002343,cust_00436,bienes_digitales,DE,0,9.39,3497,2,0,0,15.0,0
tx_002529,cust_00070,supermercado,PT,20,18.34,3055,2,0,0,10.9,0
tx_001269,cust_00762,restaurantes,ES,19,21.17,86,1,0,0,7.4,0
tx_002324,cust_00522,electronica,ES,6,89.34,2047,0,1,0,8.9,0
tx_002780,cust_00037,bienes_digitales,IT,0,64.35,706,2,2,0,31.3,1
tx_002226,cust_00496,restaurantes,ES,15,22.01,57,0,0,0,12.5,1
tx_000451,cust_00768,marketplace,ES,22,50.03,3575,1,0,0,14.8,0
tx_002165,cust_00763,videojuegos,ES,7,16.45,46,2,0,0,28.0,0
tx_002373,cust_00049,moda,ES,9,3.45,33,1,0,0,29.9,0
tx_002013,cust_00123,marketplace,ES,6,10.86,1332,1,0,0,11.0,0
tx_000271,cust_00236,supermercado,FR,17,7.92,20,8,0,0,27.9,0
tx_001841,cust_00340,viajes,NL,5,75.04,1796,0,0,0,16.1,0
tx_002935,cust_00646,supermercado,ES,10,47.48,3447,0,0,0,28.2,0
tx_000979,cust_00281,viajes,PT,11,17.97,2785,3,0,0,23.8,0
tx_002167,cust_00253,moda,GB,7,32.27,35,1,0,0,21.3,0
tx_000355,cust_00775,restaurantes,ES,13,21.37,167,11,0,0,11.3,0
tx_001877,cust_00187,electronica,ES,9,23.83,12,2,0,0,1.4,0
tx_000185,cust_00397,moda,NG,22,25.5,1402,0,0,0,65.3,1
tx_002745,cust_00159,lujo,ES,6,40.96,2005,1,0,0,18.2,0
tx_001615,cust_00049,supermercado,ES,10,35.1,745,0,0,0,15.4,0
tx_002760,cust_00343,videojuegos,ES,11,13.69,55,1,0,0,11.8,0
tx_001707,cust_00786,electronica,ES,17,19.75,2746,2,0,0,16.7,0
tx_001862,cust_00237,viajes,FR,0,19.53,275,3,0,0,20.0,0
tx_000247,cust_00606,lujo,ES,16,106.69,3590,0,0,0,9.4,0
tx_000556,cust_00404,supermercado,ES,20,6.39,170,1,0,0,21.1,0
tx_001753,cust_00503,videojuegos,ES,5,31.58,549,2,0,0,6.9,0
tx_001365,cust_00444,supermercado,FR,21,20.97,3412,1,0,0,14.5,0
tx_000068,cust_00296,electronica,ES,1,81.64,3239,4,0,0,29.3,0
tx_002619,cust_00525,videojuegos,ES,22,8.14,659,7,0,0,0.0,0
tx_002285,cust_00545,supermercado,FR,5,10.32,2497,2,0,0,35.3,0
tx_000533,cust_00125,viajes,ES,20,18.62,789,1,0,0,10.0,0
tx_002874,cust_00175,moda,GB,5,13.0,843,1,0,0,10.5,0
tx_002706,cust_00228,restaurantes,ES,3,12.85,2045,0,0,0,6.2,0
tx_001503,cust_00183,videojuegos,PT,3,30.52,82,2,0,0,21.2,0
tx_000762,cust_00442,marketplace,PT,6,47.41,1696,1,1,0,26.8,1
tx_002753,cust_00466,moda,NL,23,6.16,2700,4,0,0,14.8,0
tx_001212,cust_00625,videojuegos,PT,0,15.64,40,2,0,0,24.4,0
tx_002244,cust_00090,supermercado,ES,14,10.89,820,5,0,0,0.5,0
tx_001794,cust_00223,supermercado,NG,13,7.52,2392,2,0,0,43.9,0
tx_000536,cust_00123,restaurantes,ES,9,9.38,3113,1,0,0,3.9,0
tx_001747,cust_00790,viajes,BR,21,23.13,942,0,0,0,42.4,1
tx_000464,cust_00335,moda,ES,10,9.55,2893,3,0,0,22.7,0
tx_002678,cust_00702,marketplace,NG,4,59.44,1132,1,0,0,55.6,0
tx_001840,cust_00442,supermercado,DE,2,14.1,3253,2,0,1,30.8,0
tx_002863,cust_00668,bienes_digitales,US,20,59.24,3004,1,0,1,24.2,0
tx_000125,cust_00684,supermercado,ES,2,6.03,1796,2,0,1,28.1,0
tx_000179,cust_00720,suscripciones,ES,7,30.42,27,1,0,1,13.7,1
tx_000193,cust_00486,videojuegos,DE,15,22.1,31,4,0,0,17.3,0
tx_002308,cust_00123,bienes_digitales,BR,2,60.69,1242,1,0,0,46.4,1
tx_001430,cust_00630,bienes_digitales,ES,5,21.35,7,0,0,0,28.4,0
tx_001692,cust_00711,electronica,ES,12,35.92,34,0,0,1,20.0,0
tx_000742,cust_00610,electronica,ES,0,32.98,13,1,0,0,12.2,0
tx_001035,cust_00054,marketplace,GB,4,3.58,18,0,0,0,14.6,0
tx_001967,cust_00297,bienes_digitales,ES,18,19.32,1346,0,0,0,22.8,1
tx_000479,cust_00531,lujo,GB,0,88.84,2404,2,0,0,26.0,1
tx_001028,cust_00225,suscripciones,ES,8,16.82,2947,1,0,0,25.2,0
tx_002602,cust_00172,bienes_digitales,ES,4,27.92,38,0,0,1,4.7,0
tx_000369,cust_00018,supermercado,ES,19,3.0,831,1,0,0,9.0,0
tx_002524,cust_00321,suscripciones,ES,2,61.09,63,1,0,0,8.1,0
tx_000846,cust_00005,electronica,ES,19,20.42,2075,1,0,0,9.3,0
tx_000257,cust_00542,moda,ES,22,11.46,1439,1,1,0,13.4,0
tx_001223,cust_00769,viajes,ES,15,69.82,869,0,0,0,14.8,0
tx_001993,cust_00230,restaurantes,NL,0,41.98,79,2,0,0,19.5,0
tx_000212,cust_00573,viajes,ES,23,54.51,2661,2,0,0,28.5,0
tx_002690,cust_00785,supermercado,FR,18,18.5,1429,1,0,0,5.0,0
tx_001950,cust_00257,restaurantes,IT,6,3.9,2345,1,0,0,27.0,0
tx_001363,cust_00281,videojuegos,FR,23,156.1,986,0,0,1,11.1,0
tx_002152,cust_00258,moda,NG,12,148.54,2721,0,0,1,50.8,1
tx_002154,cust_00436,moda,ES,0,3.94,2033,1,0,0,13.0,0
tx_000568,cust_00200,marketplace,ES,5,7.59,648,4,0,0,19.1,0
tx_002207,cust_00108,viajes,ES,8,134.76,3358,1,0,0,6.6,0
tx_002094,cust_00159,electronica,GB,17,35.28,2322,2,0,0,29.1,0
tx_001711,cust_00274,viajes,ES,15,199.54,1940,0,0,0,11.5,0
tx_001264,cust_00658,videojuegos,BR,21,27.05,24,2,0,0,43.6,0
tx_002124,cust_00488,restaurantes,ES,5,4.46,1767,2,0,1,7.7,0
tx_000799,cust_00252,electronica,ES,20,49.8,3488,0,0,1,14.3,0
tx_000081,cust_00752,suscripciones,FR,11,18.35,3314,0,0,0,19.5,0
tx_000033,cust_00074,supermercado,FR,1,31.99,811,0,0,0,20.9,0
tx_000415,cust_00015,moda,ES,15,45.49,3391,2,0,1,13.0,0
tx_001805,cust_00103,lujo,DE,16,60.49,2172,6,2,0,47.7,1
tx_002214,cust_00093,restaurantes,FR,5,38.9,1193,0,0,1,20.2,0
tx_001322,cust_00220,bienes_digitales,NL,9,26.88,1318,0,0,0,14.6,0
tx_001568,cust_00483,moda,ES,12,59.13,817,1,0,0,3.6,0
tx_000784,cust_00098,bienes_digitales,ES,21,30.48,17,0,0,0,24.4,0
tx_002992,cust_00510,restaurantes,NG,22,23.96,3171,0,0,0,49.1,0
tx_001413,cust_00201,supermercado,ES,17,3.0,1546,1,0,0,0.0,0
tx_000458,cust_00507,electronica,ES,14,73.35,2853,1,0,0,5.0,0
tx_000140,cust_00349,lujo,ES,23,19.17,1267,4,0,0,2.7,0
tx_002231,cust_00506,suscripciones,GB,22,63.67,2,3,0,0,14.9,0
tx_001026,cust_00045,moda,US,16,18.14,914,0,0,1,27.0,0
tx_000089,cust_00614,videojuegos,FR,11,18.29,25,12,0,0,3.1,0
tx_001443,cust_00747,restaurantes,ES,22,72.88,3094,1,0,0,1.7,0
tx_001832,cust_00762,videojuegos,BR,19,10.83,1115,0,0,0,34.1,0
tx_002577,cust_00217,bienes_digitales,ES,10,152.97,1041,0,0,0,15.3,0
tx_000255,cust_00528,viajes,US,12,23.94,1295,0,0,0,14.8,0
tx_000606,cust_00429,lujo,ES,8,250.24,10,1,0,0,7.7,1
tx_001045,cust_00567,supermercado,PT,6,22.6,3123,0,0,0,3.4,0
tx_000569,cust_00514,videojuegos,ES,6,18.77,710,0,0,0,16.9,0
tx_001733,cust_00559,supermercado,GB,20,63.66,19,1,0,0,19.2,0
tx_002543,cust_00765,moda,ES,6,25.58,70,1,0,0,15.9,0
tx_000858,cust_00046,supermercado,ES,0,8.33,2513,1,0,0,15.7,0
tx_002473,cust_00332,supermercado,ES,18,25.01,2269,2,0,0,7.2,0
tx_000818,cust_00086,restaurantes,US,12,20.29,74,4,0,0,16.1,0
tx_002031,cust_00445,electronica,ES,0,30.08,54,2,0,1,15.8,0
tx_001878,cust_00717,suscripciones,NL,22,21.98,2801,2,0,0,16.7,0
tx_000142,cust_00172,electronica,ES,15,11.75,790,1,0,0,7.7,0
tx_000444,cust_00391,moda,NG,20,77.96,1197,0,0,0,62.6,0
tx_001175,cust_00007,supermercado,ES,5,14.92,12,0,1,0,13.3,0
tx_000487,cust_00268,videojuegos,FR,15,200.17,10,1,2,1,27.4,1
tx_000882,cust_00681,moda,DE,4,82.37,47,3,0,0,10.7,0
tx_002565,cust_00352,moda,ES,13,41.09,2862,0,1,0,9.3,0
tx_001085,cust_00161,electronica,DE,14,21.46,1012,1,0,0,24.0,0
tx_001300,cust_00024,restaurantes,ES,2,9.24,1671,3,0,0,14.5,0
tx_000176,cust_00370,suscripciones,ES,23,10.38,2993,1,0,0,5.7,0
tx_001095,cust_00263,videojuegos,PT,5,14.93,3272,2,0,0,27.4,0
tx_002701,cust_00705,moda,ES,6,6.87,1638,0,0,0,8.6,0
tx_002847,cust_00690,restaurantes,ES,1,37.65,2105,1,0,0,23.4,0
tx_001964,cust_00654,videojuegos,ES,4,7.87,15,1,0,0,19.4,0
tx_002682,cust_00081,moda,ES,4,7.11,2818,1,0,1,16.4,0
tx_002098,cust_00688,suscripciones,ES,17,31.69,3511,1,0,0,20.7,0
tx_002156,cust_00392,electronica,ES,6,38.15,639,10,0,1,20.6,0
tx_001557,cust_00717,bienes_digitales,ES,18,6.82,2988,0,1,1,0.1,0
tx_001671,cust_00610,marketplace,NG,6,15.19,1511,4,0,0,56.3,0
tx_000178,cust_00129,supermercado,ES,14,24.98,1922,11,0,1,17.2,0
tx_001079,cust_00334,moda,NL,5,98.0,771,8,0,0,15.8,0
tx_000599,cust_00502,moda,GB,2,5.94,88,1,0,0,22.2,0
tx_002191,cust_00290,electronica,ES,7,74.06,1108,0,0,0,17.6,0
tx_002532,cust_00645,viajes,ES,10,40.0,1549,2,0,0,13.8,0
tx_002668,cust_00772,supermercado,ES,13,9.86,28,0,0,0,6.3,0
tx_002787,cust_00226,suscripciones,GB,5,66.78,1523,1,0,0,21.0,0
tx_000480,cust_00088,moda,US,10,28.32,3507,1,0,0,13.6,0
tx_001968,cust_00375,videojuegos,IT,13,49.15,60,1,0,0,20.9,0
tx_001058,cust_00617,videojuegos,ES,23,19.36,2978,1,0,0,6.5,0
tx_002269,cust_00095,bienes_digitales,GB,11,71.6,1172,0,1,1,28.1,0
tx_000534,cust_00228,supermercado,ES,17,15.72,1715,6,0,0,13.0,0
tx_001104,cust_00121,restaurantes,US,18,27.08,420,1,0,0,26.7,0
tx_001107,cust_00196,bienes_digitales,ES,18,14.95,108,3,1,0,4.0,0
tx_002928,cust_00257,moda,ES,13,27.34,2573,1,0,0,12.2,0
tx_001124,cust_00195,suscripciones,PT,5,27.81,512,0,0,0,22.9,0
tx_000943,cust_00731,moda,GB,5,28.64,3602,0,0,0,7.6,0
tx_000163,cust_00327,restaurantes,ES,16,4.78,2106,1,0,1,13.7,0
tx_001552,cust_00682,electronica,ES,8,163.12,24,1,0,0,17.0,0
tx_000966,cust_00471,lujo,GB,22,165.94,3646,1,0,0,25.2,0
tx_000472,cust_00643,marketplace,ES,9,62.82,1114,2,0,0,19.5,0
tx_000845,cust_00005,lujo,ES,20,73.26,1244,2,0,0,15.4,0
tx_000999,cust_00769,restaurantes,ES,15,8.74,1511,1,0,0,15.6,0
tx_001905,cust_00267,suscripciones,ES,23,27.25,1220,2,0,0,12.9,0
tx_000031,cust_00360,videojuegos,IT,18,25.95,560,2,0,0,12.0,1
tx_002891,cust_00119,moda,ES,11,8.09,2535,1,0,0,22.8,0
tx_000424,cust_00465,viajes,NL,18,128.86,1390,2,0,0,5.7,0
tx_000512,cust_00597,videojuegos,ES,21,33.91,764,1,1,0,23.1,0
tx_002759,cust_00288,marketplace,DE,8,24.2,29,2,1,1,11.6,0
tx_002738,cust_00151,restaurantes,FR,9,59.02,1818,0,1,0,6.2,0
tx_001394,cust_00594,bienes_digitales,NL,14,89.24,1697,4,0,0,6.6,0
tx_001587,cust_00658,moda,ES,17,5.76,3096,4,0,1,23.5,0
tx_001930,cust_00761,restaurantes,ES,15,47.08,57,11,0,0,11.4,0
tx_002498,cust_00710,supermercado,ES,18,10.06,137,2,0,1,25.4,0
tx_000788,cust_00549,restaurantes,PT,3,14.65,771,1,0,1,17.3,0
tx_002637,cust_00269,supermercado,ES,5,9.01,59,1,0,1,14.8,0
tx_002539,cust_00425,viajes,US,14,16.46,80,3,0,0,21.2,0
tx_000403,cust_00257,restaurantes,ES,1,39.33,1988,1,0,1,7.6,0
tx_000434,cust_00105,restaurantes,ES,12,276.24,3582,0,0,1,16.4,0
tx_001152,cust_00404,supermercado,ES,11,38.18,2026,2,0,0,9.0,0
tx_000074,cust_00104,restaurantes,ES,12,25.01,3287,4,0,0,4.1,0
tx_001537,cust_00123,bienes_digitales,US,15,40.26,1446,1,0,0,21.5,0
tx_002710,cust_00699,moda,FR,13,4.37,1721,1,0,0,30.7,0
tx_000622,cust_00382,electronica,ES,3,20.72,828,0,1,0,12.5,0
tx_001438,cust_00522,electronica,ES,9,4.11,3088,0,0,0,5.6,0
tx_001560,cust_00684,videojuegos,US,7,27.01,2973,0,0,0,36.7,0
tx_001567,cust_00774,supermercado,ES,2,19.26,8,4,0,0,14.2,0
tx_000325,cust_00780,lujo,ES,21,167.66,31,0,0,0,6.5,0
tx_000333,cust_00248,supermercado,DE,19,8.56,3419,2,0,0,4.5,0
tx_001393,cust_00787,bienes_digitales,ES,17,58.49,3096,2,0,1,16.5,0
tx_000651,cust_00391,bienes_digitales,FR,14,40.56,75,0,0,0,7.8,0
tx_002237,cust_00200,videojuegos,ES,20,9.12,1055,2,0,0,14.2,0
tx_001534,cust_00151,moda,ES,22,25.3,41,0,0,0,10.7,0
tx_002164,cust_00730,bienes_digitales,NL,8,7.72,823,2,0,0,12.8,0
tx_000544,cust_00140,suscripciones,ES,2,14.43,2762,1,0,0,29.8,0
tx_002959,cust_00410,electronica,ES,7,77.81,3252,3,0,0,6.9,0
tx_001819,cust_00109,electronica,ES,16,103.42,3055,3,0,1,15.4,0
tx_001625,cust_00443,moda,ES,7,10.2,2464,1,0,0,19.9,0
tx_001178,cust_00154,restaurantes,PT,11,8.45,2822,1,0,0,10.0,0
tx_000680,cust_00748,marketplace,ES,7,37.59,1139,1,0,0,20.1,0
tx_002097,cust_00751,restaurantes,ES,22,34.16,3521,1,0,0,0.0,0
tx_002030,cust_00274,supermercado,ES,9,11.96,9,1,0,0,6.7,0
tx_001660,cust_00203,videojuegos,BR,11,38.08,1880,1,0,0,43.0,0
tx_001638,cust_00497,electronica,ES,7,38.94,1458,8,0,0,22.0,0
tx_000240,cust_00502,restaurantes,FR,20,25.28,3107,1,0,0,24.8,0
tx_002125,cust_00596,bienes_digitales,ES,22,16.78,3474,0,0,0,3.7,0
tx_002620,cust_00756,supermercado,FR,21,20.3,483,1,0,0,12.7,0
tx_002291,cust_00316,moda,ES,23,22.93,756,3,0,1,14.8,0
tx_000765,cust_00289,supermercado,ES,2,21.2,89,2,0,0,25.1,0
tx_001129,cust_00445,videojuegos,ES,10,17.44,2996,1,0,0,22.7,0
tx_001886,cust_00144,bienes_digitales,NL,7,37.23,2870,0,0,1,13.9,0
tx_001117,cust_00796,moda,ES,21,13.79,623,4,0,1,22.6,0
tx_001103,cust_00735,supermercado,US,9,19.97,876,1,0,0,23.6,0
tx_002848,cust_00309,suscripciones,ES,8,25.68,964,8,0,0,16.6,0
tx_002331,cust_00053,supermercado,ES,11,15.1,2880,3,0,0,18.0,0
tx_001362,cust_00054,supermercado,ES,6,38.77,2093,1,0,0,10.1,0
